ID,DATE,TIME,SECCHI,.SAMPLES,STATION,NET_DIA,TEMP,ROT_1C1,ROT_1C2,ROT_1C3,ROT_1AVe,ROT_1,ACOP_1C1,ACOP_1C2,ACOP_1C3,ACOP_1AVE,ACOP_1,NCOP_1C1,NCOP_1C2,NCOP_1C3,NCOP_1AVE,NCOP_1,CLAD_1C1,CLAD_1C2,CLAD_1C3,CLAD_1AVE,CLAD_1,BOS_1C1,BOS_1C2,BOS_1C3,BOS_1AVE,BOS_1,OTH_1C1,OTH_1C2,OTH_1C3,OTH_1AVE,OTH_1,TOT_1,DEPTH_1,CELL_VOL1,ROT_2C1,ROT_2C2,ROT_2C3,ROT_2AVE,ROT_2,ACOP_2C1,ACOP_2C2,ACOP_2C3,ACOP_2AVE,ACOP_2,NCOP_2C1,NCOP_2C2,NCOP_2C3,NCOP_2AVE,NCOP_2,CLAD_2C1,CLAD_2C2,CLAD_2C3,CLAD_2AVE,CLAD_2,BOS_2C1,BOS_2C2,BOS_2C3,BOS_2AVE,BOS_2,OTH_2C1,OTH_2C2,OTH_2C3,OTH_2AVE,OTH_2,TOT_2,DEPTH_2,CELL_VOL2,TOT_AVE,ROT_AVE,ACOP_AVE,NCOP_AVE,CLAD_AVE,BOS_AVE,OTH_AVE,comments
1,4/3/2001,1/0/1900,0.300000012,2,nc_is,0.031399999,59,36,35,40,37,88375.79688,17,7,5,9.666666985,23089.17188,58,51,56,55,131369.4375,3,0,1,1.333333373,3184.713379,0,0,0,0,0,0,0,0,0,0,246019.1196,2,150,37,33,26,32,76433.12391,6,21,10,12.33333302,29458.59908,50,50,61,53.66666794,128184.7213,1,0,1,0.666666687,1592.356796,0,0,0,0,0,0,0,0,0,0,235668.801,2,150,240843.9603,82404.46039,26273.88548,129777.0794,2388.535087,0,0,
2,4/3/2001,1/0/1900,1.5,2,ww_is,0.031399999,0,4,5,6,5,23885.35156,11,13,10,11.33333302,54140.12739,6,1,5,4,19108.28025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97133.75921,1,150,2,2,3,2.333333254,11146.49644,11,15,9,11.66666698,55732.4856,9,12,8,9.666666985,46178.34547,1,1,1,1,4777.070064,0,0,0,0,0,0,0,0,0,0,117834.3976,1,150,107484.0784,17515.924,54936.30649,32643.31286,2388.535032,0,0,
3,4/3/2001,1/0/1900,0.600000024,2,ww_is,0.031399999,57,4,5,2,3.666666746,11677.28238,2,2,2,2,6369.426752,1,6,7,4.666666508,14861.99575,0,2,0,0.666666687,2123.142251,0,0,0,0,0,0,0,0,0,0,35031.84713,1.5,150,7,8,12,9,28662.42038,2,3,2,2.333333254,7430.997624,5,8,5,6,19108.28025,1,0,1,0.666666687,2123.142314,0,0,0,0,0,0,0,0,0,0,57324.84057,1.5,150,46178.34385,20169.85138,6900.212188,16985.138,2123.142282,0,0,
4,4/3/2001,1/0/1900,4.599999905,2,nc_ow,0.031399999,56,141,127,100,122.6666641,19532.90767,73,58,71,67.33333588,10721.86862,150,95,136,127,20222.92994,6,15,18,13,2070.063694,0,0,0,0,0,0,0,0,0,0,52547.76992,40,200,130,109,94,111,17675.15924,70,54,77,67,10668.78981,116,119,142,125.6666641,20010.61531,8,11,18,12.33333302,1963.906531,0,0,0,0,0,0,0,0,0,0,50318.47088,40,200,51433.1204,18604.03345,10695.32922,20116.77262,2016.985113,0,0,
5,4/3/2001,1/0/1900,5,2,ww_ow,0.031399999,56,66,42,37,48.33333206,11840.60022,121,79,88,96,23517.88339,116,128,77,107,26212.64086,29,17,16,20.66666603,5062.877276,0,0,0,0,0,0,0,0,0,0,66634.00174,26,200,55,38,21,38,9309.162175,84,62,95,80.33333588,19679.8961,120,86,98,101.3333359,24824.43309,21,17,19,19,4654.581088,0,0,0,0,0,0,0,0,0,0,58468.07245,26,200,62551.0371,10574.8812,21598.88974,25518.53698,4858.729182,0,0,
6,4/3/2001,1/0/1900,4.300000191,2,pb_ow,0.031399999,53,36,69,14,39.66666794,6316.348325,83,86,72,80.33333588,12791.93232,146,218,103,155.6666718,24787.68629,8,11,17,12,1910.828025,0,0,0,0,0,0,0,0,0,0,45806.79496,40,200,38,71,59,56,8917.197452,83,123,93,99.66666412,15870.48792,162,173,184,173,27547.7707,13,17,8,12.66666698,2016.985189,0,0,0,0,0,0,0,0,0,0,54352.44126,40,200,50079.61811,7616.772889,14331.21012,26167.7285,1963.906607,0,0,
7,4/19/2001,1/0/1900,0.899999976,2,ww_is,0.031399999,52,14,12,13,13,48301.4862,2,4,4,3.333333254,12384.99603,13,9,5,9,33439.49045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94125.97267,1.5,175,12,17,6,11.66666698,43347.4888,4,6,1,3.666666746,13623.4964,6,4,7,5.666666508,21054.49339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78025.47859,1.5,175,86075.72563,45824.4875,13004.24622,27246.99192,0,0,0,
8,4/19/2001,1/0/1900,0.899999976,2,wc_is,0.031399999,61,19,13,8,13.33333302,18198.36215,1,0,0,0.333333343,454.9590537,10,9,9,9.333333015,12738.8535,4,2,7,4.333333492,5914.467698,0,0,0,0,0,0,0,0,0,0,37306.6424,3.5,150,13,10,9,10.66666698,12738.85388,0,0,0,0,0,8,7,15,10,11942.67516,0,2,1,1,1194.267516,0,0,1,0.333333343,398.0891838,0,0,0,0,0,26273.88574,4,150,31790.26407,15468.60802,227.4795268,12340.76433,3554.367607,199.0445919,0,
9,4/19/2001,1/0/1900,0.300000012,2,nc_is,0.031399999,67,39,49,61,49.66666794,79087.05402,29,26,31,28.66666603,45647.55579,22,28,21,23.66666603,37685.77236,1,2,0,1,1592.356688,2,5,4,3.666666746,5838.641513,0,0,0,0,0,169851.3804,2,100,81,78,73,77.33333588,123142.2546,15,12,16,14.33333302,22823.77869,12,14,26,17.33333397,27600.85027,1,0,0,0.333333343,530.7855785,4,3,4,3.666666746,5838.641316,0,0,0,0,0,179936.3104,2,100,174893.8454,101114.6543,34235.66724,32643.31131,1061.571133,5838.641414,0,
10,4/19/2001,1/0/1900,8.199999809,2,nc_ow,0.031399999,58,120,101,84,101.6666641,16188.95862,46,26,67,46.33333206,7377.918802,185,192,210,195.6666718,31157.1146,9,3,11,7.666666508,1220.806729,0,0,0,0,0,0,0,0,0,0,55944.79876,40,200,112,69,81,87.33333588,13906.58215,63,30,35,42.66666794,6794.055404,160,158,173,163.6666718,26061.57194,3,3,2,2.666666746,424.6284628,5,7,3,5,796.1783439,,,,,0,47983.01629,40,200,51963.90752,15047.77038,7085.987103,28609.34327,822.717596,398.089172,0,
